2025-06-01 14:18:23 | razer                          | CRITICAL | User is not a member of the plugdev group
2025-06-01 14:18:23 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2025-06-01 14:19:56 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 860
2025-06-01 14:19:56 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-01 14:19:56 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-01 14:19:56 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-01 14:19:56 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-01 14:19:56 | razer                          | INFO     | Serving DBus
2025-06-01 14:24:02 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-01 16:43:35 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 868
2025-06-01 16:43:35 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-01 16:43:35 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-01 16:43:35 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-01 16:43:35 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-01 16:43:35 | razer                          | INFO     | Serving DBus
2025-06-01 18:32:10 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-01 19:29:31 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 875
2025-06-01 19:29:31 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-01 19:29:31 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-01 19:29:31 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-01 19:29:31 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-01 19:29:31 | razer                          | INFO     | Serving DBus
2025-06-01 19:43:35 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-01 19:45:23 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 869
2025-06-01 19:45:23 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-01 19:45:23 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-01 19:45:23 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-01 19:45:23 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-01 19:45:23 | razer                          | INFO     | Serving DBus
2025-06-01 19:53:41 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-01 19:54:20 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 864
2025-06-01 19:54:20 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-01 19:54:20 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-01 19:54:20 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-01 19:54:20 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-01 19:54:20 | razer                          | INFO     | Serving DBus
2025-06-01 19:58:43 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-01 20:00:14 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 866
2025-06-01 20:00:14 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-01 20:00:14 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-01 20:00:14 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-01 20:00:14 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-01 20:00:14 | razer                          | INFO     | Serving DBus
2025-06-01 20:50:10 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-01 22:38:19 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 864
2025-06-01 22:38:19 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-01 22:38:19 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-01 22:38:19 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-01 22:38:19 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-01 22:38:19 | razer                          | INFO     | Serving DBus
2025-06-02 00:27:53 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-02 00:28:35 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 868
2025-06-02 00:28:35 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-02 00:28:35 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-02 00:28:35 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-02 00:28:35 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-02 00:28:35 | razer                          | INFO     | Serving DBus
2025-06-02 01:19:38 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-02 22:16:32 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 874
2025-06-02 22:16:32 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-02 22:16:32 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-02 22:16:32 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-02 22:16:32 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-02 22:16:32 | razer                          | INFO     | Serving DBus
2025-06-02 22:48:58 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-02 22:49:33 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 892
2025-06-02 22:49:33 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-02 22:49:33 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-02 22:49:33 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-02 22:49:33 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-02 22:49:33 | razer                          | INFO     | Serving DBus
2025-06-03 00:57:28 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-03 22:18:14 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 925
2025-06-03 22:18:14 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-03 22:18:15 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-03 22:18:15 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-03 22:18:15 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-03 22:18:15 | razer                          | INFO     | Serving DBus
2025-06-04 00:46:17 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-04 22:22:33 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 919
2025-06-04 22:22:33 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-04 22:22:33 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-04 22:22:33 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-04 22:22:33 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-04 22:22:33 | razer                          | INFO     | Serving DBus
2025-06-04 22:37:39 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-04 22:38:08 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 66929
2025-06-04 22:38:08 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-04 22:38:08 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-04 22:38:08 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-04 22:38:08 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-04 22:38:08 | razer                          | INFO     | Serving DBus
2025-06-04 22:38:35 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-04 22:39:56 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 892
2025-06-04 22:39:56 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-04 22:39:57 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-04 22:39:57 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-04 22:39:57 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-04 22:39:57 | razer                          | INFO     | Serving DBus
2025-06-04 22:44:34 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-04 22:46:09 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 5641
2025-06-04 22:46:09 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-04 22:46:09 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-04 22:46:09 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-04 22:46:09 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-04 22:46:09 | razer                          | INFO     | Serving DBus
2025-06-05 00:16:58 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-05 23:39:11 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 868
2025-06-05 23:39:11 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-05 23:39:11 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-05 23:39:11 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-05 23:39:11 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-05 23:39:11 | razer                          | INFO     | Serving DBus
2025-06-06 01:36:09 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-07 09:35:24 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 884
2025-06-07 09:35:24 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-07 09:35:24 | razer                          | INFO     | Found device.0: 0003:1532:026B.0008
2025-06-07 09:35:24 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-07 09:35:24 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-07 09:35:24 | razer                          | INFO     | Serving DBus
2025-06-07 09:43:11 | razer                          | INFO     | Stopping daemon on signal 15
2025-06-07 22:49:42 | razer                          | INFO     | Initialising Daemon (v3.10.3). Pid: 863
2025-06-07 22:49:42 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-06-07 22:49:42 | razer                          | INFO     | Found device.0: 0003:1532:026B.0007
2025-06-07 22:49:42 | razer.device0                  | INFO     | Initialising device.0 RazerHuntsmanV2Tenkeyless
2025-06-07 22:49:42 | razer.device0                  | INFO     | Putting device into driver mode. Daemon will handle special functionality
2025-06-07 22:49:42 | razer                          | INFO     | Serving DBus
